config,rate,latency,throughput
bv_K8big_express_greedy_L30,0.001,22.845,0.00102604
bv_K8big_express_greedy_L30,0.003,23.3563,0.0030125
bv_K8big_express_greedy_L30,0.005,23.9887,0.00497396
bv_K8big_express_greedy_L30,0.007,24.9351,0.00697917
bv_K8big_express_greedy_L30,0.01,26.8734,0.0100427
bv_K8big_express_greedy_L30,0.015,32.5184,0.0149305
bv_K8big_express_greedy_L30,0.02,327.928,0.0196406
bv_K8big_express_greedy_L30,0.025,465.206,0.0216125
bv_K8big_adj_uniform_L40,0.001,23.8409,0.00102604
bv_K8big_adj_uniform_L40,0.003,24.4188,0.0030125
bv_K8big_adj_uniform_L40,0.005,24.986,0.00497292
bv_K8big_adj_uniform_L40,0.007,25.8228,0.00697812
bv_K8big_adj_uniform_L40,0.01,27.2458,0.0100427
bv_K8big_adj_uniform_L40,0.015,31.8769,0.0149885
bv_K8big_adj_uniform_L40,0.02,62.5753,0.0200138
bv_K8big_adj_uniform_L40,0.025,357.626,0.022875
bv_K8big_adj_load_L40,0.001,23.8409,0.00102604
bv_K8big_adj_load_L40,0.003,24.4188,0.0030125
bv_K8big_adj_load_L40,0.005,24.986,0.00497292
bv_K8big_adj_load_L40,0.007,25.8228,0.00697812
bv_K8big_adj_load_L40,0.01,27.2458,0.0100427
bv_K8big_adj_load_L40,0.015,31.8769,0.0149885
bv_K8big_adj_load_L40,0.02,62.5753,0.0200138
bv_K8big_adj_load_L40,0.025,357.626,0.022875
bv_K8big_express_greedy_L40,0.001,22.3921,0.00102604
bv_K8big_express_greedy_L40,0.003,22.9343,0.0030125
bv_K8big_express_greedy_L40,0.005,23.5482,0.00497396
bv_K8big_express_greedy_L40,0.007,24.3629,0.00697917
bv_K8big_express_greedy_L40,0.01,25.9466,0.0100427
bv_K8big_express_greedy_L40,0.015,29.3032,0.0149906
bv_K8big_express_greedy_L40,0.02,37.2094,0.0200305
bv_K8big_express_greedy_L40,0.025,289.603,0.0240953
bv_K8x05_adj_uniform_L20,0.001,24.766,0.00102604
bv_K8x05_adj_uniform_L20,0.003,25.8283,0.0030125
bv_K8x05_adj_uniform_L20,0.005,26.687,0.00497396
bv_K8x05_adj_uniform_L20,0.007,27.6993,0.00697917
bv_K8x05_adj_uniform_L20,0.01,30.4234,0.0100396
bv_K8x05_adj_uniform_L20,0.015,37.3186,0.0149771
bv_K8x05_adj_uniform_L20,0.02,73.9292,0.0200125
bv_K8x05_adj_uniform_L20,0.025,373.317,0.0232469
bv_K8x05_adj_load_L20,0.001,25.0061,0.00102604
